City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vila Velha,BR,-20.3297,-40.2925,87.01,62,40,13.8,scattered clouds
80,Smithers,CA,54.7804,-127.1743,28.4,74,90,13.8,overcast clouds
81,Port Lincoln,AU,-34.7333,135.8667,56.95,76,41,4.72,scattered clouds
82,Walvis Bay,NA,-22.9575,14.5053,82.4,30,52,23.02,broken clouds
83,Port Alfred,ZA,-33.5906,26.891,71.01,90,42,1.99,scattered clouds
84,Bambous Virieux,MU,-20.3428,57.7575,77.0,100,75,9.24,light rain
85,Punta Arenas,CL,-53.15,-70.9167,48.2,76,0,6.91,clear sky
86,Aksu,CN,41.1231,80.2644,56.75,23,100,5.93,overcast clouds
87,Burnie,AU,-41.0667,145.9167,54.0,97,74,4.0,broken clouds
88,Kodiak,US,57.79,-152.4072,28.4,86,90,3.44,overcast clouds
89,Itaituba,BR,-4.2761,-55.9836,86.0,74,40,2.46,scattered clouds
90,Lompoc,US,34.6391,-120.4579,50.0,76,90,4.61,overcast clouds
91,Dikson,RU,73.5069,80.5464,-23.46,99,100,12.55,overcast clouds
92,Lashio,MM,22.9333,97.75,64.35,46,30,1.81,scattered clouds
93,Westport,US,41.1415,-73.3579,48.99,29,90,16.11,overcast clouds
94,Butaritari,KI,3.0707,172.7902,81.34,80,29,14.63,scattered clouds
95,Acajutla,SV,13.5928,-89.8275,80.6,47,0,3.44,clear sky
96,Sur,OM,22.5667,59.5289,74.46,70,0,2.13,clear sky
97,Yar-Sale,RU,66.8333,70.8333,5.29,90,90,7.11,overcast clouds
98,Prachuap Khiri Khan,TH,12.2167,99.75,70.07,88,1,3.51,clear sky
99,Victoria,HK,22.2855,114.1577,71.01,82,71,14.41,broken clouds
100,Ponta Do Sol,PT,32.6667,-17.1,64.4,63,40,12.66,scattered clouds
101,Esperance,AU,-33.8667,121.9,55.4,76,0,6.91,clear sky
102,Zhanaozen,KZ,43.3,52.8,29.77,43,100,9.17,overcast clouds
103,Cozumel,MX,20.5083,-86.9458,84.2,58,40,18.41,scattered clouds
104,Chokurdakh,RU,70.6333,147.9167,-19.86,85,0,4.16,clear sky
105,Ust-Kulom,RU,61.6864,53.6902,19.18,94,99,7.38,light snow
106,Kikwit,CD,-5.041,18.8162,80.85,69,15,3.22,few clouds
107,Zaragoza,ES,41.6561,-0.8773,57.2,47,20,23.02,few clouds
108,Iqaluit,CA,63.7506,-68.5145,-14.01,58,40,17.27,scattered clouds
109,Northam,GB,51.0333,-4.2167,48.99,92,83,15.99,light rain
110,Cabo San Lucas,MX,22.8909,-109.9124,72.0,55,1,2.3,clear sky
111,Sola,VU,-13.8833,167.55,80.46,71,97,2.21,overcast clouds
112,Porosozero,RU,62.7191,32.727,30.67,95,99,6.38,snow
113,Maniitsoq,GL,65.4167,-52.9,17.8,60,100,6.67,overcast clouds
114,Mana,GF,5.6592,-53.7767,76.3,90,100,2.62,light rain
115,Maksatikha,RU,57.797,35.8825,35.06,98,100,7.49,overcast clouds
116,East London,ZA,-33.0153,27.9116,71.6,88,40,10.36,scattered clouds
117,Mehar,PK,27.1807,67.8229,75.0,21,10,2.66,clear sky
118,Margate,GB,51.3813,1.3862,48.99,53,74,3.0,broken clouds
119,Saskylakh,RU,71.9167,114.0833,-31.18,88,47,3.51,scattered clouds
120,Naze,JP,28.3667,129.4833,57.51,67,0,4.5,clear sky
121,Chuy,UY,-33.6971,-53.4616,75.74,53,0,10.02,clear sky
122,Soyo,AO,-6.1349,12.3689,82.29,76,39,9.48,scattered clouds
123,Jining,CN,35.405,116.5814,57.4,74,100,11.68,overcast clouds
124,Kruisfontein,ZA,-34.0033,24.7314,69.01,93,100,1.01,heavy intensity rain
125,Lac Du Bonnet,CA,50.2536,-96.0612,33.01,99,0,4.0,clear sky
126,Te Anau,NZ,-45.4167,167.7167,57.45,92,100,5.03,overcast clouds
127,Leh,IN,34.1667,77.5833,27.55,86,78,4.32,broken clouds
128,Ardakan,IR,32.31,54.0175,55.4,35,0,4.61,clear sky
129,Biak,ID,-0.9131,122.8766,76.93,83,48,1.61,scattered clouds
130,Kiama,AU,-34.6833,150.8667,53.01,87,16,1.99,few clouds
131,Tura,IN,25.5198,90.2201,70.2,44,25,4.05,scattered clouds
132,Tiarei,PF,-17.5333,-149.3333,77.0,83,20,2.3,light rain
133,Semnan,IR,35.5729,53.3971,41.83,56,94,2.57,overcast clouds
134,Richards Bay,ZA,-28.783,32.0377,76.15,81,0,11.52,clear sky
135,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.2,74,20,8.05,few clouds
136,Aqtobe,KZ,50.2797,57.2072,-0.4,78,0,4.47,clear sky
137,Zhigansk,RU,66.7697,123.3711,6.94,94,100,11.77,light snow
138,Faxinal,BR,-24.0003,-51.3194,81.61,55,6,5.03,clear sky
139,Kloulklubed,PW,7.0419,134.2556,77.0,100,75,5.93,broken clouds
140,Chumphon,TH,10.3333,98.8333,68.7,96,2,0.89,clear sky
141,Hella,NO,67.2,14.4333,35.01,93,90,8.05,overcast clouds
142,Epe,NG,6.5841,3.9834,83.95,73,100,8.99,overcast clouds
143,Gamba,GA,-2.65,10.0,80.08,81,100,6.31,overcast clouds
144,Arman,RU,59.7,150.1667,0.79,94,77,4.56,broken clouds
145,Saint-Philippe,RE,-21.3585,55.7679,80.6,74,90,11.5,light rain
146,Sept-Iles,CA,50.2001,-66.3821,17.01,24,75,9.22,broken clouds
147,Kavaratti,IN,10.5669,72.642,83.77,69,0,7.9,clear sky
148,Necochea,AR,-38.5473,-58.7368,73.0,66,0,4.0,clear sky
149,Mandalgovi,MN,45.7625,106.2708,11.71,42,0,24.4,clear sky
150,Mount Isa,AU,-20.7333,139.5,73.4,73,90,13.8,overcast clouds
151,Lorengau,PG,-2.0226,147.2712,80.37,75,100,0.58,overcast clouds
152,Mahina,PF,-17.5065,-149.489,77.0,83,20,2.3,light rain
153,Maisach,DE,48.2167,11.2667,37.99,75,90,14.97,light rain
154,Leningradskiy,RU,69.3833,178.4167,4.6,96,100,15.66,light snow
155,Upernavik,GL,72.7868,-56.1549,2.61,91,100,1.41,overcast clouds
156,Abha,SA,18.2164,42.5053,69.8,64,0,5.75,clear sky
157,Goderich,CA,43.7501,-81.7165,33.8,55,35,23.02,scattered clouds
158,Zhongshu,CN,24.5167,103.7667,57.16,62,35,3.76,scattered clouds
159,Banda Aceh,ID,5.5577,95.3222,80.24,80,100,7.09,overcast clouds
160,Mangla,PK,31.8931,72.3817,66.7,52,0,8.59,clear sky
161,Torbay,CA,47.6666,-52.7314,30.99,74,90,14.97,overcast clouds
162,Tabas,IR,33.5959,56.9244,54.25,27,72,3.15,broken clouds
163,Bengkulu,ID,-3.8004,102.2655,77.68,84,95,4.47,overcast clouds
164,Albany,US,42.6001,-73.9662,42.01,55,66,3.0,broken clouds
165,Souillac,MU,-20.5167,57.5167,77.0,100,75,7.85,light rain
166,Lalawigan,PH,11.5892,125.4697,76.37,90,26,3.18,scattered clouds
167,Ribeira Grande,PT,38.5167,-28.7,64.4,88,40,9.22,scattered clouds
168,Talnakh,RU,69.4865,88.3972,-16.1,99,100,5.28,overcast clouds
169,Salalah,OM,17.0151,54.0924,78.8,69,0,3.44,clear sky
170,Faanui,PF,-16.4833,-151.75,82.42,75,56,15.52,broken clouds
